player_name,Nationality,Preferred Foot,Date of Birth,appearances_,sub_appearances,XA,pass_attempts,pass_accuracy,long_pass_attempts,long_pass_accuracy,Minutes Played,Duels Won,Total Tackles,Interceptions,Blocks,Red Cards,Yellow Cards,XG,Touches in the Opposition Box,Aerial Duels Won,Assists,Shots On Target Inside the Box,cross_attempts,cross_accuracy,dribble_attempts,dribble_accuracy,Fouls,Goals,Hit Woodwork,Offsides,Shots On Target Outside the Box,Corners Taken,Appearances,free_kick_attempts,free_kicks_scored,Passes,Own Goals,Penalties Taken,Goals Conceded,Clean Sheets,Saves Made,Penalties Faced,penalty_attempts,penalties_scored,penalties_saved,penalty_save_precentage,player_image_url,player_country,player_club,player_position,player_stats_url,Age
Max Aarons,England,Right,2000-01-04,3,2,0.02,51,80,5,60,85,4,2,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/232980.png,England,Bournemouth,Defender,https://www.premierleague.com/en/players/232980/max-aarons/stats,25
George Abbott,England,Right,2005-08-17,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Tottenham Hotspur,Midfielder,https://www.premierleague.com/en/players/519327/george-abbott/stats,20
Zach Abbott,England,Right,2006-05-13,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/549067.png,England,Nottingham Forest,Defender,https://www.premierleague.com/en/players/549067/zach-abbott/stats,19
Josh Acheampong,England,Right,2006-05-05,4,2,0.02,123,84,14,29,169,5,2,1,0,0,1,0.22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/577016.png,England,Chelsea,Defender,https://www.premierleague.com/en/players/577016/josh-acheampong/stats,19
Ché Adams,England,Right,1996-07-13,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/200439.png,Scotland,Southampton,Forward,https://www.premierleague.com/en/players/200439/che-adams/stats,29
Tyler Adams,United States,Right,1999-02-14,28,7,0.76,1056,85,64,30,1965,139,83,32,10,0,7,1.59,18,31,3,5,3,33,14,29,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,United States,Bournemouth,Midfielder,https://www.premierleague.com/en/players/200785/tyler-adams/stats,26
Tosin Adarabioyo,England,Right,1997-09-24,22,7,0.22,1177,91,90,47,1404,72,17,11,7,0,4,0.93,14,42,1,5,0,0,5,80,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/109646.png,England,Chelsea,Defender,https://www.premierleague.com/en/players/109646/tosin-adarabioyo/stats,27
Tayo Adaramola,Ireland,Left,2003-11-14,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Ireland,Crystal Palace,Defender,https://www.premierleague.com/en/players/501468/tayo-adaramola/stats,21
Valintino Adedokun,Ireland,Right,2003-02-14,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Ireland,Brentford,Defender,https://www.premierleague.com/en/players/516432/valintino-adedokun/stats,22
Simon Adingra,Cote d’Ivoire,Right,2002-01-01,29,17,2.79,332,82,12,42,1091,55,23,8,0,0,0,2.46,79,7,2,13,41,24,48,44,13,2,1,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/535818.png,Cote d’Ivoire,Brighton and Hove Albion,Forward,https://www.premierleague.com/en/players/535818/simon-adingra/stats,23
Daniel Adu-Adjei,England,Right,2005-06-21,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Bournemouth,Forward,https://www.premierleague.com/en/players/590760/daniel-adu-adjei/stats,20
Emmanuel Agbadou,Cote d’Ivoire,Right,1997-06-17,0,0,0.32,996,86,147,52,1411,70,30,12,13,0,3,0.85,7,26,0,0,0,0,12,83,7,1,0,1,0,0,16,1,1,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Cote d’Ivoire,Wolverhampton Wanderers,Defender,https://www.premierleague.com/en/players/516939/emmanuel-agbadou/stats,28
Asher Agbinone,England,Right,2005-09-28,2,2,0.01,0,0,0,0,4,2,2,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Crystal Palace,Midfielder,https://www.premierleague.com/en/players/579075/asher-agbinone/stats,19
Nayef Aguerd,Morocco,Left,1996-03-30,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/210494.png,Morocco,West Ham United,Defender,https://www.premierleague.com/en/players/210494/nayef-aguerd/stats,29
Brandon Aguilera,Costa Rica,Left,2003-06-28,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/461682.png,Costa Rica,Nottingham Forest,Midfielder,https://www.premierleague.com/en/players/461682/brandon-aguilera/stats,22
Gassan Ahadme,Morocco,Right,2000-11-17,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/476586.png,Morocco,Ipswich Town,Forward,https://www.premierleague.com/en/players/476586/gassan-ahadme/stats,24
Naouirou Ahamada,France,Right,2002-03-29,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/466117.png,France,Crystal Palace,Midfielder,https://www.premierleague.com/en/players/466117/naouirou-ahamada/stats,23
Ola Aina,Nigeria,Right,1996-10-08,0,0,2.22,1027,80,89,31,3003,136,55,33,12,0,5,0.64,22,13,1,0,59,22,60,55,23,2,0,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/159506.png,Nigeria,Nottingham Forest,Defender,https://www.premierleague.com/en/players/159506/ola-aina/stats,28
Damola Ajayi,England,Right,2005-12-27,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,England,Tottenham Hotspur,Forward,https://www.premierleague.com/en/players/574799/damola-ajayi/stats,19
